Identifier,MIRU02,MIRU04_ETRD,MIRU10,MIRU16,MIRU20,MIRU23,MIRU24,MIRU26,MIRU27_QUBS,MIRU31_ETRE,MIRU39,MIRU40,Mtub04,ETRC,Mtub21,QUB_11b,ETRA,Mtub29,Mtub30,ETRB,Mtub34,Mtub39,QUB_4156,QUB26
1897/04,3,3,3,3,2,5,1,5,4,3,2,4,3,5,1,3,3,4,2,2,2,3,2,2
2111/99,2,2,3,2,2,5,1,5,3,4,2,3,1,5,3,3,4,4,2,2,3,2,2,4
Mar-51,2,3,3,3,2,5,1,5,3,3,2,4,3,4,1,2,4,4,2,2,3,7,2,7
2169/99,2,2,3,2,2,5,1,4,3,2,2,2,1,4,3,3,4,4,2,2,3,2,2,7
2173/99,2,2,3,2,2,5,1,4,3,4,2,2,1,5,3,2,4,4,2,2,3,2,2,3
2176/99,2,2,3,3,1,5,1,4,3,3,2,1,2,5,3,2,4,4,2,1,3,3,2,6
2191/99,2,2,3,3,1,5,1,4,3,4,2,3,2,5,3,2,4,4,2,1,3,4,2,7
2197/99,2,2,3,3,1,5,1,4,3,4,2,3,2,5,3,2,3,4,2,1,3,3,2,3
2201/99,2,2,3,3,2,5,1,5,3,4,2,2,3,5,3,2,4,4,2,2,2,2,2,6
2211/99,2,2,3,3,1,5,1,4,3,4,2,3,2,5,3,2,4,4,2,1,3,3,2,7
2224/99,2,2,3,3,2,5,1,5,3,5,2,2,3,5,2,3,4,4,2,2,4,3,2,6
2253/99,2,2,3,3,1,5,1,4,3,4,2,4,2,5,3,2,4,4,2,1,3,3,2,5
Mar-58,2,1,5,1,2,5,1,1,3,3,2,2,4,4,3,2,3,4,4,2,3,3,3,7
2263/99,2,2,3,2,2,5,1,4,3,4,2,3,1,5,3,3,4,4,2,2,3,2,2,4
2307/99,2,2,3,3,1,5,1,4,4,4,2,3,2,5,3,2,4,4,2,1,3,3,2,6
Jun-18,3,3,2,3,2,5,1,5,3,3,2,5,4,4,1,5,3,2,2,2,3,3,2,8
2319/99,2,2,3,3,1,5,1,4,3,4,2,3,2,5,3,2,4,4,2,1,3,3,2,7
2329/99,2,2,3,3,2,5,1,3,3,2,2,3,2,5,2,3,4,4,2,2,3,3,2,7
2331/99,2,2,3,2,2,5,1,5,3,4,2,2,1,5,3,3,4,4,2,2,3,2,2,4
2333/99,2,2,3,2,2,5,1,5,3,4,2,2,1,5,3,3,4,4,2,2,3,2,2,4
Feb-36,2,2,5,3,2,5,1,5,3,3,2,3,1,3,3,3,3,4,4,2,3,3,3,5
2379/99,2,2,3,3,1,5,1,4,3,4,2,3,2,5,3,2,3,4,2,1,3,3,2,7
Feb-69,2,2,4,4,2,4,2,4,3,2,2,1,1,4,2,6,4,3,4,2,3,3,3,2
Feb-70,2,2,3,3,2,5,1,4,3,3,3,5,3,3,4,3,3,4,4,2,2,3,1,6
Feb-77,2,3,4,4,2,4,2,4,4,2,2,1,2,4,2,3,4,3,4,2,3,5,3,3
Feb-82,2,2,3,3,2,5,1,4,3,3,3,5,2,3,4,4,3,4,4,2,2,3,1,6
Feb-97,2,2,3,3,2,5,1,4,3,3,3,5,2,3,4,3,3,4,4,2,2,3,1,6
Feb-37,2,2,5,5,2,6,1,7,3,5,2,3,5,2,4,2,4,4,2,2,3,2,4,8
Mar-79,2,3,9,2,2,5,1,1,3,3,2,2,3,4,3,1,5,4,4,2,3,3,3,8
282/04,2,3,3,3,2,5,1,3,3,3,2,6,3,4,1,5,4,4,2,2,3,3,0,5
287/99,2,4,5,6,1,4,2,2,2,1,2,2,3,5,3,6,9,3,4,3,3,3,3,9
3040/99,3,1,3,3,1,8,6,7,2,6,3,6,3,3,2,11,10,5,5,6,2,4,1,6
3041/99,3,2,3,2,1,2,6,3,2,4,2,8,3,6,3,11,10,5,2,4,4,2,1,5
Mar-03,2,2,5,3,2,3,1,5,3,3,2,3,2,3,3,5,3,2,4,2,3,3,3,7
Feb-43,2,2,3,3,2,5,1,7,3,5,3,3,4,4,5,3,4,4,4,2,3,3,2,7
Feb-56,2,2,3,3,2,5,1,5,3,5,3,3,4,4,5,6,4,4,4,2,3,3,2,8
Feb-62,1,2,4,3,2,5,1,5,3,2,2,4,3,2,3,2,2,4,1,2,3,2,2,6
Apr-70,2,3,3,2,2,5,1,5,3,3,2,6,2,4,1,2,4,4,2,2,2,1,2,9
Feb-77,2,2,3,3,2,5,1,5,3,5,3,3,4,4,5,6,4,4,4,2,3,3,2,8
Feb-09,2,2,3,3,2,5,1,5,3,5,4,3,4,4,5,6,4,4,4,2,3,3,2,8
Feb-10,1,2,4,3,2,5,1,4,3,2,2,5,4,2,3,2,2,4,1,2,3,2,2,6
Feb-29,2,2,3,3,2,5,1,5,3,5,3,3,4,4,5,6,4,4,4,2,3,3,2,7
Feb-42,2,2,5,3,2,5,1,5,1,3,2,3,2,3,1,3,3,4,4,2,3,3,3,6
Feb-64,2,2,3,3,2,5,1,5,3,5,3,3,4,4,5,6,4,4,4,2,3,3,2,8
Mar-82,2,2,4,4,2,4,2,4,2,2,2,1,3,4,2,6,4,3,4,2,3,3,3,3
Mar-86,2,2,4,3,2,5,1,5,3,3,2,2,2,3,3,4,3,4,4,2,3,4,3,6
Mar-95,2,2,4,3,2,6,1,5,3,3,2,4,3,2,3,3,2,4,2,2,1,1,2,4
Mar-58,2,5,4,3,2,4,2,2,3,4,3,4,2,4,6,3,6,3,1,1,3,4,1,5
Feb-30,2,2,5,3,2,5,1,5,3,3,2,3,2,3,3,4,3,4,4,2,3,3,3,5
417/01,2,6,5,6,1,4,2,2,2,1,2,2,3,5,3,9,9,3,4,3,3,2,3,9
Mar-92,2,2,2,3,2,5,1,5,3,3,2,3,2,3,3,6,3,4,4,2,3,3,3,6
Feb-17,2,2,4,3,2,2,1,5,3,3,2,2,2,3,3,6,3,4,4,2,3,4,3,7
4258/00,2,3,2,3,2,4,2,5,3,2,2,2,1,3,3,2,6,3,4,6,3,2,1,5
Apr-12,2,2,4,3,2,5,1,5,3,3,2,5,2,3,4,4,3,4,4,2,3,6,3,8
Feb-28,2,2,4,3,2,7,1,5,3,2,2,6,3,4,3,1,1,4,1,2,3,2,2,6
Feb-31,1,2,4,3,2,5,1,4,3,2,2,5,3,2,3,2,2,4,1,2,3,2,2,5
Feb-36,2,2,3,3,2,5,1,7,3,5,3,3,4,4,5,6,4,4,4,2,3,3,2,7
Feb-45,2,2,3,3,2,5,1,5,3,5,3,3,4,4,5,6,3,3,4,2,3,3,2,8
Feb-98,2,2,3,3,2,5,1,5,3,5,3,3,4,4,6,6,4,4,4,2,3,3,2,8
Feb-99,2,2,3,3,2,5,1,5,3,5,3,3,4,4,3,6,4,4,4,2,3,3,2,8
Apr-26,3,3,3,2,2,5,1,4,3,3,2,5,3,4,1,3,4,4,2,2,2,3,2,8
Mar-02,2,2,4,6,2,4,2,4,4,2,2,1,2,4,2,5,4,3,4,2,3,3,3,2
Mar-04,2,2,4,4,2,4,2,4,3,2,2,1,1,4,2,3,4,3,4,2,3,3,3,2
Mar-50,2,5,3,3,2,7,2,2,3,3,3,4,2,4,6,3,6,3,1,1,3,4,1,5
Feb-93,2,2,5,3,2,5,1,5,3,3,2,3,3,3,3,4,3,4,4,2,3,3,3,5
Feb-46,2,2,2,3,2,4,2,5,3,3,2,2,2,3,3,3,3,3,4,4,3,2,1,4
Feb-57,2,2,3,3,2,5,1,4,3,3,3,7,2,3,4,4,3,4,5,2,2,3,1,6
5358/99,2,3,6,2,2,4,2,4,3,5,2,2,4,5,3,4,5,3,4,3,2,1,3,3
Feb-83,2,2,5,4,2,4,2,4,3,5,2,2,3,5,4,5,6,3,4,3,3,4,3,6
Feb-90,2,2,3,2,1,5,1,5,3,3,2,3,2,4,3,6,3,4,2,2,3,8,3,5
Feb-98,2,2,4,4,2,4,2,4,4,2,2,1,2,4,2,3,4,3,4,2,3,3,3,3
Feb-00,2,2,4,3,1,5,1,5,3,3,2,3,2,4,3,5,3,4,2,2,3,7,2,5
Feb-29,2,2,3,3,1,5,1,5,3,3,2,3,2,4,3,5,4,4,2,2,3,10,2,5
Feb-32,2,2,4,4,2,4,2,4,3,2,2,1,1,4,2,3,4,3,4,2,3,3,3,2
Feb-34,2,2,3,4,2,4,2,4,4,2,2,1,3,4,2,9,4,3,4,2,3,3,3,3
Feb-68,2,2,7,4,2,4,2,4,3,5,2,1,3,5,4,6,6,3,4,4,3,4,4,6
Feb-73,2,2,3,4,2,4,2,4,4,2,2,1,3,6,2,5,4,3,4,2,3,3,4,3
Mar-06,2,4,4,3,2,6,1,2,3,4,1,3,2,2,3,8,8,3,2,4,3,5,1,4
May-11,3,3,3,3,2,5,1,5,4,3,2,5,3,4,1,4,3,4,2,2,2,4,0,4
May-24,3,3,3,3,2,5,1,4,3,3,2,4,3,4,1,3,4,4,2,2,2,3,2,8
Jan-27,2,2,5,4,2,6,1,7,3,5,2,3,5,2,4,2,4,4,2,2,3,2,4,8
Mar-38,2,5,4,3,2,6,2,2,3,5,3,3,2,4,4,3,6,3,1,4,3,4,1,6
Mar-46,2,2,4,3,2,2,1,5,3,3,2,2,2,3,3,6,3,4,4,2,3,4,3,7
6997/99,2,6,5,6,1,4,2,2,2,1,2,2,3,5,3,2,4,3,4,3,3,2,3,6
Feb-11,2,5,6,4,2,4,2,2,2,3,2,2,3,4,4,9,9,3,4,3,3,3,0,7
Jan-72,2,3,2,3,2,4,2,6,3,3,2,2,2,5,3,4,5,3,4,1,2,2,1,6
7140/99,2,2,5,4,2,4,2,5,3,5,2,2,3,6,2,4,4,3,4,3,2,1,3,3
Mar-90,2,5,4,4,2,6,2,2,3,5,3,3,2,4,6,9,6,3,2,1,3,5,1,6
742/06,3,3,2,3,2,5,1,5,3,3,2,5,4,4,1,5,3,2,2,2,3,3,2,8
Jan-07,2,2,6,4,2,5,1,9,3,4,3,3,4,2,5,2,4,4,2,2,3,3,4,8
751/01,2,3,2,3,2,4,2,6,3,3,2,2,2,5,3,4,5,3,4,3,2,2,1,6
Jan-40,2,3,2,3,2,4,2,5,2,3,2,2,0,5,1,4,4,3,4,5,3,2,1,4
7618/99,2,4,6,4,2,4,2,5,3,6,2,2,3,3,1,4,5,3,4,3,2,1,2,2
Jan-39,2,5,6,4,2,4,2,2,2,3,2,2,3,4,4,9,9,3,4,3,3,3,0,7
Jan-46,2,2,6,2,2,5,1,7,3,5,3,3,3,2,4,2,4,4,2,2,3,3,2,2
Jan-47,2,2,5,4,2,6,1,4,3,5,2,3,5,2,4,2,4,4,2,2,3,2,4,7
Jan-36,2,2,5,2,2,6,1,7,3,5,2,3,5,2,4,2,4,4,2,2,3,2,4,8
Mar-55,2,3,3,2,2,5,1,5,3,3,2,4,3,4,1,4,4,4,2,2,3,3,2,10
Mar-68,2,2,4,3,2,6,1,5,3,3,2,3,3,2,3,4,2,4,2,2,1,1,2,4
Mar-78,1,2,4,3,2,6,1,5,3,2,2,4,3,2,3,2,2,4,1,2,3,2,2,6
Feb-63,2,2,7,4,2,4,2,4,3,5,2,2,4,5,4,5,6,3,4,4,3,4,3,6
Feb-17,2,3,2,3,2,4,2,4,3,3,2,2,2,5,3,3,4,3,4,5,3,2,1,3
Feb-36,2,2,4,4,2,4,2,4,3,6,2,2,3,5,4,5,6,3,4,1,3,4,3,6
Jan-60,2,2,5,4,2,4,1,8,3,4,3,3,4,2,4,2,4,4,2,2,3,3,4,8
Feb-03,2,2,4,4,2,4,2,4,3,2,2,1,1,4,2,5,4,3,4,2,3,3,3,2
8319/99,2,3,7,3,2,4,2,4,3,5,2,2,2,5,3,5,4,3,4,3,2,1,3,3
Mar-31,2,2,10,2,2,5,1,1,3,2,2,2,2,4,5,2,4,4,4,2,3,3,3,8
8490/00,2,4,2,4,2,4,1,3,3,3,2,2,2,5,3,4,4,3,4,3,3,2,1,5
8522/00,2,4,6,4,2,4,3,2,3,5,2,2,3,4,1,5,5,3,4,3,2,1,2,2
Mar-77,2,2,7,2,2,5,1,1,3,2,2,3,3,5,3,2,4,4,4,2,3,3,3,6
Apr-83,3,3,3,3,2,5,1,3,4,2,2,2,3,4,1,5,4,4,2,2,3,3,2,7
8668/99,2,5,5,4,1,4,2,2,2,1,2,2,3,5,3,9,9,3,2,3,3,2,3,9
Mar-50,2,2,6,3,2,5,1,5,3,3,2,2,2,4,3,4,2,4,4,2,3,3,3,5
8753/00,2,6,5,6,1,4,2,2,2,1,3,2,3,5,3,9,9,3,4,3,3,2,3,9
Mar-70,2,2,2,2,2,5,1,4,3,3,2,3,2,4,5,2,3,4,2,1,2,3,2,7
Mar-85,2,2,3,2,2,6,1,4,1,3,2,1,4,4,3,3,2,4,1,1,5,2,2,8
Mar-15,2,5,4,3,2,6,2,2,3,4,3,2,1,4,10,8,4,3,2,6,3,2,1,7
8986/99,2,4,6,3,2,4,2,5,3,4,2,2,3,6,1,4,5,3,4,3,2,1,2,2
Jan-62,2,3,4,3,2,3,2,4,3,5,2,2,2,3,2,5,4,3,4,3,2,1,3,3
Jan-67,2,5,4,3,2,6,2,2,3,4,3,2,1,4,10,9,4,3,2,6,3,2,1,7
Jan-98,2,2,5,4,2,6,1,7,3,5,2,3,5,2,4,2,4,4,2,2,3,2,4,8
Feb-00,2,2,5,3,2,4,1,5,3,3,2,4,2,3,3,6,3,2,4,2,3,3,3,7
946/03,2,2,3,1,2,6,1,5,3,3,2,1,1,4,3,2,2,5,1,2,3,3,2,4
947/01,2,4,4,3,2,7,2,2,1,6,3,2,2,4,4,8,10,3,2,4,3,4,1,6
951/01,2,5,2,3,2,4,2,5,3,3,2,2,2,5,4,4,7,3,4,5,3,3,1,2
Mar-32,2,2,5,3,2,5,1,5,3,3,2,3,2,3,3,3,3,4,4,2,3,3,3,3
9550/00,2,3,7,2,2,4,2,4,3,4,2,1,2,5,4,4,6,3,4,4,3,4,3,6
9564/00,2,3,2,2,2,4,2,6,3,2,2,2,2,5,3,4,7,3,4,5,3,2,1,4
9577/99,2,3,6,4,2,4,2,5,3,5,2,2,4,5,3,7,6,3,4,2,2,1,3,3
9679/00,2,3,3,2,2,6,1,3,3,3,2,1,2,4,2,5,3,4,2,3,3,5,2,5
Apr-87,2,2,4,3,2,5,1,5,3,3,2,5,2,3,4,4,3,4,4,2,3,6,3,8
Jan-15,2,2,5,4,2,6,1,7,3,5,2,3,5,2,4,2,4,4,2,2,3,2,4,8
Apr-53,2,2,4,3,2,6,1,5,3,3,2,2,2,4,4,2,3,4,4,2,3,4,3,9
